Consulta	Iteracion	Tiempo	Manager	Worker1	Worker2
1	1	2107.068	9530.679069884654	22651.30617802951	22083.614755153816
1	2	2258.728	10211.441860590698	24269.256619317333	23661.01580909337
1	3	2646.239	10619.899535014325	25240.026884090028	24607.4564414571
1	4	2373.438	10075.28930244949	23945.666531059767	23345.535598305458
1	5	2191.024	9939.136744308282	23622.076442802205	23030.055387517546
1	6	2379.072	10347.594418731907	24592.8467075749	23976.49601988128
1	7	2199.665	9802.984186167072	23298.48635454464	22714.57517672964
1	8	2402.372	10075.28930244949	23945.666531059767	23345.535598305458
1	9	2383.986	9939.136744308282	23622.076442802205	23030.055387517546
1	10	2691.308	10483.746976873115	24916.436795832462	24291.97623066919
1	11	2407.362	9802.984186167072	23298.48635454464	22714.57517672964
1	12	2203.080	10075.28930244949	23945.666531059767	23345.535598305458
1	13	2347.975	9939.136744308282	23622.076442802205	23030.055387517546
1	14	2407.521	10483.746976873115	24916.436795832462	24291.97623066919
1	15	2501.118	9939.136744308282	23622.076442802205	23030.055387517546
1	16	2539.093	9530.679069884654	22651.30617802951	22083.614755153816
1	17	2412.691	10619.899535014325	25240.026884090028	24607.4564414571
1	18	2391.811	9258.373953602239	22004.12600151438	21452.654333577997
1	19	2363.321	10075.28930244949	23945.666531059767	23345.535598305458
1	20	2377.639	9802.984186167072	23298.48635454464	22714.57517672964
1	21	2473.773	9802.984186167072	23298.48635454464	22714.57517672964
1	22	2616.150	9802.984186167072	23298.48635454464	22714.57517672964
1	23	2179.045	10483.746976873115	24916.436795832462	24291.97623066919
1	24	2377.961	10075.28930244949	23945.666531059767	23345.535598305458
1	25	2469.064	10211.441860590698	24269.256619317333	23661.01580909337
1	26	2374.767	10075.28930244949	23945.666531059767	23345.535598305458
1	27	2553.098	9530.679069884654	22651.30617802951	22083.614755153816
1	28	2459.630	10756.052093155533	25563.61697234759	24922.93665224501
1	29	2444.709	9939.136744308282	23622.076442802205	23030.055387517546
1	30	2398.901	9939.136744308282	23622.076442802205	23030.055387517546
2	1	310.400	9530.679069884654	22651.30617802951	22083.614755153816
2	2	313.546	10211.441860590698	24269.256619317333	23661.01580909337
2	3	317.313	10619.899535014325	25240.026884090028	24607.4564414571
2	4	342.066	10075.28930244949	23945.666531059767	23345.535598305458
2	5	260.494	9939.136744308282	23622.076442802205	23030.055387517546
2	6	307.810	10347.594418731907	24592.8467075749	23976.49601988128
2	7	271.277	9802.984186167072	23298.48635454464	22714.57517672964
2	8	287.827	10075.28930244949	23945.666531059767	23345.535598305458
2	9	296.113	9939.136744308282	23622.076442802205	23030.055387517546
2	10	278.943	10483.746976873115	24916.436795832462	24291.97623066919
2	11	677.165	9802.984186167072	23298.48635454464	22714.57517672964
2	12	288.916	10075.28930244949	23945.666531059767	23345.535598305458
2	13	669.335	9939.136744308282	23622.076442802205	23030.055387517546
2	14	1166.737	10483.746976873115	24916.436795832462	24291.97623066919
2	15	855.568	9939.136744308282	23622.076442802205	23030.055387517546
2	16	905.884	9530.679069884654	22651.30617802951	22083.614755153816
2	17	274.313	10619.899535014325	25240.026884090028	24607.4564414571
2	18	282.603	9258.373953602239	22004.12600151438	21452.654333577997
2	19	280.372	10075.28930244949	23945.666531059767	23345.535598305458
2	20	310.830	9802.984186167072	23298.48635454464	22714.57517672964
2	21	269.684	9802.984186167072	23298.48635454464	22714.57517672964
2	22	275.991	9802.984186167072	23298.48635454464	22714.57517672964
2	23	284.381	10483.746976873115	24916.436795832462	24291.97623066919
2	24	311.850	10075.28930244949	23945.666531059767	23345.535598305458
2	25	276.797	10211.441860590698	24269.256619317333	23661.01580909337
2	26	285.278	10075.28930244949	23945.666531059767	23345.535598305458
2	27	277.233	9530.679069884654	22651.30617802951	22083.614755153816
2	28	278.402	10756.052093155533	25563.61697234759	24922.93665224501
2	29	266.759	9939.136744308282	23622.076442802205	23030.055387517546
2	30	310.484	9939.136744308282	23622.076442802205	23030.055387517546
3	1	2430.438	9530.679069884654	22651.30617802951	22083.614755153816
3	2	2845.038	10211.441860590698	24269.256619317333	23661.01580909337
3	3	3832.380	10619.899535014325	25240.026884090028	24607.4564414571
3	4	2251.863	10075.28930244949	23945.666531059767	23345.535598305458
3	5	2642.392	9939.136744308282	23622.076442802205	23030.055387517546
3	6	3051.935	10347.594418731907	24592.8467075749	23976.49601988128
3	7	2534.783	9802.984186167072	23298.48635454464	22714.57517672964
3	8	3350.076	10075.28930244949	23945.666531059767	23345.535598305458
3	9	3001.735	9939.136744308282	23622.076442802205	23030.055387517546
3	10	2524.515	10483.746976873115	24916.436795832462	24291.97623066919
3	11	2694.047	9802.984186167072	23298.48635454464	22714.57517672964
3	12	2662.726	10075.28930244949	23945.666531059767	23345.535598305458
3	13	3033.497	9939.136744308282	23622.076442802205	23030.055387517546
3	14	3328.755	10483.746976873115	24916.436795832462	24291.97623066919
3	15	2888.434	9939.136744308282	23622.076442802205	23030.055387517546
3	16	2505.104	9530.679069884654	22651.30617802951	22083.614755153816
3	17	2903.925	10619.899535014325	25240.026884090028	24607.4564414571
3	18	3946.520	9258.373953602239	22004.12600151438	21452.654333577997
3	19	2745.525	10075.28930244949	23945.666531059767	23345.535598305458
3	20	2836.929	9802.984186167072	23298.48635454464	22714.57517672964
3	21	3040.587	9802.984186167072	23298.48635454464	22714.57517672964
3	22	2693.590	9802.984186167072	23298.48635454464	22714.57517672964
3	23	4261.578	10483.746976873115	24916.436795832462	24291.97623066919
