query,total_ms,prop_w1,prop_w2,prop_coord
Q12,298.436,0.1539,0.0000,0.8461
Q12,411.328,0.1211,0.0000,0.8789
Q12,295.344,0.1692,0.0000,0.8308
Q13,615.064,0.3647,0.0000,0.6353
Q13,499.527,0.5156,0.0000,0.4844
Q13,910.383,0.2611,0.0000,0.7389
Q13,1422.677,0.1436,0.0000,0.8564
Q13,2579.477,0.0951,0.0000,0.9049
Q13,1183.344,0.1762,0.0000,0.8238
Q13,482.666,0.3998,0.0000,0.6002
Q13,465.064,0.4717,0.0000,0.5283
Q13,530.589,0.2835,0.0000,0.7165
Q13,487.529,0.5053,0.0000,0.4947
Q14,6160.030,0.0000,0.0000,1.0000
Q14,9249.075,0.0000,0.0000,1.0000
Q14,5876.296,0.0000,0.0000,1.0000
Q14,10078.919,0.0000,0.0000,1.0000
Q14,8247.538,0.0000,0.0000,1.0000
Q14,6336.430,0.0000,0.0000,1.0000
Q14,7207.106,0.0000,0.0000,1.0000
Q14,7093.845,0.0000,0.0000,1.0000
Q14,8522.102,0.0000,0.0000,1.0000
Q14,6061.178,0.0000,0.0000,1.0000
Q15,2987.250,0.0206,0.0000,0.9794
Q15,4620.510,0.0079,0.0000,0.9921
Q15,2283.342,0.0204,0.0000,0.9796
Q15,4748.779,0.0117,0.0000,0.9883
Q15,2987.934,0.0143,0.0000,0.9857
Q15,1879.001,0.0310,0.0000,0.9690
Q15,3386.440,0.0100,0.0000,0.9900
Q15,2105.965,0.0554,0.0000,0.9446
Q15,2487.989,0.0360,0.0000,0.9640
Q15,2117.989,0.0220,0.0000,0.9780
Q16,1890.149,0.0577,0.0000,0.9423
Q16,1686.506,0.0521,0.0000,0.9479
Q16,3324.070,0.0281,0.0000,0.9719
Q16,3442.530,0.0235,0.0000,0.9765
Q16,1883.718,0.0482,0.0000,0.9518
Q16,1573.639,0.0428,0.0000,0.9572
Q16,1691.365,0.0207,0.0000,0.9793
Q16,1732.666,0.0469,0.0000,0.9531
Q16,1791.345,0.0234,0.0000,0.9766
Q16,4607.460,0.0102,0.0000,0.9898
Q17,312.705,0.0089,0.0000,0.9911
Q17,248.587,0.0133,0.0000,0.9867
