query,total_ms,prop_w1,prop_w2,prop_coord
1,2218957,0.8564,0.0000,0.1436
1,2192792,0.8495,0.0000,0.1505
1,2301153,0.8224,0.0000,0.1776
1,2598186,0.7242,0.0000,0.2758
1,2610767,0.7409,0.0000,0.2591
1,2725933,0.7042,0.0000,0.2958
1,2374506,0.7883,0.0000,0.2117
1,2244247,0.9125,0.0000,0.0875
1,2374204,0.9104,0.0000,0.0896
1,2844930,0.6911,0.0000,0.3089
1,2991388,0.6634,0.0000,0.3366
1,2359000,0.7999,0.0000,0.2001
1,2557124,0.8230,0.0000,0.1770
1,2308010,0.9137,0.0000,0.0863
1,2868611,0.6936,0.0000,0.3064
1,3248514,0.6694,0.0000,0.3306
1,2400339,0.7938,0.0000,0.2062
1,2487640,0.8757,0.0000,0.1243
1,2473772,0.7626,0.0000,0.2374
1,2492243,0.8397,0.0000,0.1603
1,3099477,0.7420,0.0000,0.2580
1,2768347,0.7038,0.0000,0.2962
1,2508593,0.8548,0.0000,0.1452
1,2460554,0.8619,0.0000,0.1381
1,2529082,0.8750,0.0000,0.1250
1,2950154,0.6365,0.0000,0.3635
1,2847120,0.6738,0.0000,0.3262
1,2398806,0.9021,0.0000,0.0979
1,2469862,0.9036,0.0000,0.0964
1,2490047,0.9056,0.0000,0.0944
2,406059,0.2203,0.0000,0.7797
2,525874,0.1623,0.0000,0.8377
2,900215,0.1566,0.0000,0.8434
2,2584324,0.0320,0.0000,0.9680
2,1480348,0.0573,0.0000,0.9427
2,851068,0.1174,0.0000,0.8826
2,548352,0.1884,0.0000,0.8116
2,526622,0.1704,0.0000,0.8296
2,514151,0.1952,0.0000,0.8048
2,444924,0.2308,0.0000,0.7692
2,543855,0.1524,0.0000,0.8476
2,368186,0.2056,0.0000,0.7944
2,361514,0.2664,0.0000,0.7336
2,379489,0.2513,0.0000,0.7487
2,1384824,0.0575,0.0000,0.9425
2,554715,0.1785,0.0000,0.8215
2,719823,0.1461,0.0000,0.8539
2,439556,0.2420,0.0000,0.7580
2,759393,0.1093,0.0000,0.8907
2,1694930,0.0538,0.0000,0.9462
2,1542939,0.0503,0.0000,0.9497
2,1347038,0.0752,0.0000,0.9248
2,577628,0.1572,0.0000,0.8428
2,389536,0.2014,0.0000,0.7986
2,370191,0.2228,0.0000,0.7772
2,379786,0.2660,0.0000,0.7340
