Consulta,Iteración,Tiempo,Manager,Worker1,Worker2
1,97,2368.550,0.004280087273054744,0.04246651103683018,0.04273082105057349
1,113,2374.847,0.0015004401135380082,0.04446553048501403,0.048582214265065114
1,122,2387.160,0.001997032701597905,0.040664713276606396,0.040673335611216686
1,129,2388.876,0.0024680491082906377,0.05196027739373662,0.04859644040955915
1,138,2365.665,0.004756400115761992,0.059645709956152,0.05518761336321846
1,145,2370.828,0.009223293128311402,0.0521577718233169,2.4624821813122844
1,154,2369.945,0.004461730961834447,0.07166672785031894,0.049639747347569464
1,161,2374.403,0.041382297592767944,0.048581004480856615,0.0463005780287504
1,165,2392.484,0.04530641174759473,0.053493198927319054,0.04003382109048662
1,170,2367.493,0.0074899702002234,0.04877313647294567,0.0421183593717666
1,177,2366.923,0.007911430550463725,0.04318746901014796,0.04674885845645709
1,186,2374.648,0.020695466679814027,0.04093981001375494,0.014046080805012004
1,204,2384.085,0.001969999543541748,0.03952539447433799,0.025122539213750576
1,216,2362.595,0.008410024170998983,0.04196643859324158,0.04189715314972745
1,220,2379.754,0.0019080025961369222,0.04084974454623876,0.03826809953380088
1,245,2368.380,0.0019139233185166324,0.21456083945048415,0.47701051523984006
1,250,2376.841,0.006473784033362673,0.039549980106631605,0.03556713884288113
1,271,2380.126,0.012314339265077178,0.04263483819531417,0.04252168602326539
1,284,2383.157,0.023352619637560964,0.03786419962995105,0.028380189190949187
1,287,2368.698,0.0019959048646293076,0.03879598744278981,0.038212299055796296
1,300,2392.244,0.0034961741960215786,0.38396441146722055,0.05371868792180121
1,305,2390.589,0.001740723679631007,0.05620027536100388,0.03254322107211898
1,312,2366.350,0.002535123113130635,0.04942200943311517,0.04925845109046981
1,321,2366.280,0.001188782261354724,0.035489468305711855,0.04322768565796589
1,326,2404.612,0.0009608312468580587,0.04942327492468485,0.04274752379232989
1,330,2375.450,0.003731141587149054,0.039476369691861184,0.040399871354125184
1,341,2366.239,0.002350976647043949,0.9945239557900898,0.047497466238684616
1,351,2371.161,0.001415075035910412,0.059943549948369236,0.03598480526830256
1,358,2362.588,0.0019367913885726588,0.039856457056697076,0.046020396413164334
1,362,2413.894,0.008616176754489594,0.053200824985249355,0.03952711380872925
2,121,260.131,0.00138370972473947,0.0116980009367049,0.0135302639853638
2,128,264.522,0.00140706668489159,0.0118954626852588,0.0128100370471552
2,143,260.911,0.0010123742976631,0.0133061922080607,0.0126351667385333
2,150,269.501,0.00104570480199955,0.0115245568917644,0.0139732953236359
2,165,261.623,0.00104454839835635,0.0124530151211423,0.0139194778226169
2,181,269.722,0.000695249247146471,0.01227665149261,0.0135953948192212
2,291,264.771,0.00152507555891123,0.0115062262420424,0.0130533283962451
2,307,261.273,0.00196227257100776,0.0113494425280848,0.0128808754360264
2,313,260.47,0.00219838957284238,0.0117749500724442,0.012841287177863
2,432,265.958,0.00101316290205947,0.01194355568675,0.012931410399054
2,477,269.716,0.00211488678168655,0.0132609689422052,0.0158758364701301
2,483,266.212,0.00208741135092594,0.0112821375256261,0.0154949074425798
2,493,266.654,0.00106624202044835,0.0113008696067731,0.0155206341156434
2,603,264.81,0.00103670554030965,0.0122517213711697,0.0129568391466562
2,616,265.178,0.00103814622472049,0.0120944668815942,0.014082852440332
2,676,268.021,0.00105618821902891,0.0113979397120701,0.0144218850901226
2,697,263.047,0.00103445611129558,0.0138545440820306,0.0133414835963579
2,707,261.589,0.00208331799650285,0.0137777520058176,0.0132675352788196
2,713,260.793,0.00207697858190508,0.0118675545026696,0.0132271629463364
2,729,262.667,0.00131534020248207,0.0123330774360114,0.0125318956092841
2,800,263.347,0.00105562215566583,0.0125557982626191,0.0122923860317167
2,845,267.161,0.00103401038720156,0.0123128089169453,0.0139369793881506
2,860,261.459,0.00208548868188372,0.01181475806704,0.0135264543852658
2,883,264.037,0.00210605171402986,0.0116790191024388,0.0132131720603174
2,889,268.114,0.00169430886215691,0.0127583050170195,0.0126193801990323
2,964,265.822,0.00211051370322574,0.0113772273151257,0.0154529535185125
2,970,260.406,0.00206751296507514,0.0131589611746567,0.0135318425364572
