"query","mean_total_ms","mean_prop_w1","mean_prop_w2","mean_prop_coord","sd_total_ms","sd_prop_w1","sd_prop_w2","sd_prop_coord"
1,2573145.26666667,0.79646,0,0.20354,270248.555433816,0.0891137382496525,0,0.0891137382496525
2,742682.5,0.16693,0,0.83307,529022.428796266,0.0699266026532155,0,0.0699266026532155
3,6617095.8,0,0,1,1441425.96011632,0,0,0
4,939224.3,0.565316666666667,0,0.434683333333333,351748.795435248,0.146727291219138,0,0.146727291219138
5,7461701.16666667,0,0,1,1538729.40367576,0,0,0
6,796850.833333333,0.43195,0,0.56805,425907.216129578,0.141750034361122,0,0.141750034361122
7,7902787.63333333,0,0,1,1369345.64035315,0,0,0
8,26352345.3666667,0,0,1,1694835.03241339,0,0,0
9,64338041.1,0,0,1,2907407.16434833,0,0,0
10,8033610.86666667,0,0,1,1448911.2235673,0,0,0
11,719065.533333333,0.134296666666667,0,0.865703333333333,582712.062980522,0.0604944368108132,0,0.0604944368108132
12,829890.733333333,0.472546666666667,0,0.527453333333333,437223.088665582,0.142038697333614,0,0.142038697333614
13,735444.433333333,0.395243333333333,0,0.604756666666667,436444.197670351,0.139277744548211,0,0.139277744548211
14,6358168.5,0,0,1,1550791.09040615,0,0,0
15,5180132.2,0.0768966666666667,0,0.923103333333333,3417395.27858631,0.0485024242787878,0,0.0485024242787878
16,2248788.33333333,0.05067,0,0.94933,1003092.53497163,0.0245095498629159,0,0.0245095498629159
17,6395468.2,0.956656666666667,0,0.0433433333333333,124022.608963433,0.00961882792104697,0,0.00961882792104696
18,984719.633333333,0.500343333333333,0,0.499656666666667,398035.059230966,0.135710169576332,0,0.135710169576332
19,6969588.9,0,0,1,1344229.14683896,0,0,0
20,9555462.93333333,0.885793333333333,0,0.114206666666667,292431.128555784,0.0283500524032032,0,0.0283500524032032
21,1044599.53333333,0.616193333333333,0,0.383806666666667,315458.253454999,0.126360676809196,0,0.126360676809196
22,747397.9,0.139556666666667,0,0.860443333333333,643061.03116977,0.0787201007644669,0,0.0787201007644668
