Consulta	Iteracion	Tiempo	Manager	Worker1	Worker2
1	1	127946.515	27388064.720701985	113104575.17890702	112849658.68951099
1	2	126662.786	28859450.19106222	119180960.28485069	118912348.7636049
1	3	131088.411	29305939.57517153	121024828.86872324	120752061.61367476
1	4	124104.008	29387119.463191405	121360077.70215462	121086554.85914202
1	5	116519.171	30665702.69950444	126640246.82869878	126354823.4752512
1	6	118347.597	31507944.03771064	130118453.4755493	129825190.89697392
1	7	115999.736	32989476.99407336	136236744.6856719	135929692.62675124
1	8	111017.336	33994078.10831931	140385448.99938515	140069046.53940845
1	9	128072.314	35029121.68057272	144659871.62563372	144333835.41911587
1	10	123040.648	35942395.42079631	148431421.00173527	148096884.43062243
1	11	131865.847	35090006.59658763	144911308.25070715	144584705.35321632
1	12	133777.756	35769888.15875408	147719017.23069388	147386086.28400454
1	13	131647.874	36013427.822813705	148724763.73098764	148389566.02040628
1	14	116643.055	35090006.59658763	144911308.25070715	144584705.35321632
1	15	134667.450	48403508.23184712	199892116.93343216	199441597.6098453
1	16	128756.817	36256967.48687333	149730510.23128137	149393045.75680804
1	17	138199.333	36287409.94488078	149856228.5438181	149518480.72385824
1	18	128993.760	35485758.55068452	146545646.3136845	146215359.92486915
1	19	141973.765	35627823.354719296	147132331.7721892	146800723.10443684
1	20	124024.179	47459792.03361608	195994849.24479386	195553113.63128853
1	21	129327.803	38347349.603385106	158363167.69213605	158006246.82758972
1	22	143411.927	35993132.85080873	148640951.52262983	148305942.70903948
1	23	126730.505	36906406.591032326	152412500.89873138	152068991.72054604
1	24	136373.758	37484813.29317394	154801148.83692902	154452256.09450018
1	25	133041.722	36612129.49696028	151197223.8775431	150856453.70572725
1	26	142035.881	36368589.83290066	150191477.37724933	149852973.9693255
1	27	122489.802	36307704.91688575	149940040.7521759	149602104.03522506
1	28	129798.201	35566938.438704394	146880895.14711574	146549853.1703364
1	29	133781.926	36074312.73882861	148976200.35606107	148640435.95450673
1	30	115651.828	35018974.194570236	144617965.5214548	144292023.76343247
2	2	987.350	27388064.720701985	113104575.17890702	112849658.68951099
2	9	981.767	28859450.19106222	119180960.28485069	118912348.7636049
2	10	1042.244	29305939.57517153	121024828.86872324	120752061.61367476
2	14	512.829	29387119.463191405	121360077.70215462	121086554.85914202
2	15	1039.858	30665702.69950444	126640246.82869878	126354823.4752512
2	17	990.771	31507944.03771064	130118453.4755493	129825190.89697392
2	19	978.844	32989476.99407336	136236744.6856719	135929692.62675124
2	42	249.988	33994078.10831931	140385448.99938515	140069046.53940845
2	95	1160.748	35029121.68057272	144659871.62563372	144333835.41911587
2	137	1094.542	35942395.42079631	148431421.00173527	148096884.43062243
2	142	1150.241	35090006.59658763	144911308.25070715	144584705.35321632
2	209	7494.250	35769888.15875408	147719017.23069388	147386086.28400454
2	223	5325.624	36013427.822813705	148724763.73098764	148389566.02040628
2	224	11134.945	35090006.59658763	144911308.25070715	144584705.35321632
2	320	1143.911	48403508.23184712	199892116.93343216	199441597.6098453
2	338	1171.059	36256967.48687333	149730510.23128137	149393045.75680804
2	353	1090.224	36287409.94488078	149856228.5438181	149518480.72385824
2	355	1143.781	35485758.55068452	146545646.3136845	146215359.92486915
2	363	1146.064	35627823.354719296	147132331.7721892	146800723.10443684
2	370	1143.340	47459792.03361608	195994849.24479386	195553113.63128853
2	380	1155.184	38347349.603385106	158363167.69213605	158006246.82758972
2	382	1145.902	35993132.85080873	148640951.52262983	148305942.70903948
2	409	1142.226	36906406.591032326	152412500.89873138	152068991.72054604
2	480	1161.327	37484813.29317394	154801148.83692902	154452256.09450018
2	522	1111.220	36612129.49696028	151197223.8775431	150856453.70572725
2	525	1152.005	36368589.83290066	150191477.37724933	149852973.9693255
2	528	1153.142	36307704.91688575	149940040.7521759	149602104.03522506
2	554	1146.306	35566938.438704394	146880895.14711574	146549853.1703364
2	555	1152.117	36074312.73882861	148976200.35606107	148640435.95450673
2	599	1145.768	35018974.194570236	144617965.5214548	144292023.76343247
3	1	162746.141	27388064.720701985	113104575.17890702	112849658.68951099
3	2	159360.434	28859450.19106222	119180960.28485069	118912348.7636049
3	3	176609.850	29305939.57517153	121024828.86872324	120752061.61367476
3	4	161106.625	29387119.463191405	121360077.70215462	121086554.85914202
3	5	180882.634	30665702.69950444	126640246.82869878	126354823.4752512
3	6	133692.748	31507944.03771064	130118453.4755493	129825190.89697392
3	7	176145.510	32989476.99407336	136236744.6856719	135929692.62675124
3	8	166774.457	33994078.10831931	140385448.99938515	140069046.53940845
3	9	176861.182	35029121.68057272	144659871.62563372	144333835.41911587
3	10	158263.290	35942395.42079631	148431421.00173527	148096884.43062243
3	11	159149.992	35090006.59658763	144911308.25070715	144584705.35321632
3	12	154003.169	35769888.15875408	147719017.23069388	147386086.28400454
3	13	150213.203	36013427.822813705	148724763.73098764	148389566.02040628
3	14	181596.773	35090006.59658763	144911308.25070715	144584705.35321632
3	15	130591.402	48403508.23184712	199892116.93343216	199441597.6098453
3	16	178234.398	36256967.48687333	149730510.23128137	149393045.75680804
3	17	157875.692	36287409.94488078	149856228.5438181	149518480.72385824
3	18	161124.190	35485758.55068452	146545646.3136845	146215359.92486915
3	19	162804.634	35627823.354719296	147132331.7721892	146800723.10443684
3	20	160700.796	47459792.03361608	195994849.24479386	195553113.63128853
3	21	167352.978	38347349.603385106	158363167.69213605	158006246.82758972
3	22	180280.640	35993132.85080873	148640951.52262983	148305942.70903948
3	23	153439.392	36906406.591032326	152412500.89873138	152068991.72054604
3	24	165719.132	37484813.29317394	154801148.83692902	154452256.09450018
