1;1;1766608743;1766608789.689262
1;2;1766608789.689262;1766608839.9138038
1;3;1766608839.9138038;1766608884.922103
1;4;1766608884.922103;1766608938.0758479
1;5;1766608938.0758479;1766608984.805275
1;6;1766608984.805275;1766609032.1661239
1;7;1766609032.1661239;1766609081.8173628
1;8;1766609081.8173628;1766609129.4982157
1;9;1766609129.4982157;1766609174.5166717
1;10;1766609174.5166717;1766609225.3043268
1;11;1766609225.3043268;1766609274.5181277
1;12;1766609274.5181277;1766609333.3885107
1;13;1766609333.3885107;1766609384.5300786
1;14;1766609384.5300786;1766609435.0990727
1;15;1766609435.0990727;1766609484.1481786
1;16;1766609484.1481786;1766609532.0029147
1;17;1766609532.0029147;1766609585.0690246
1;18;1766609585.0690246;1766609635.8215945
1;19;1766609635.8215945;1766609683.0845935
1;20;1766609683.0845935;1766609731.0960865
1;21;1766609731.0960865;1766609778.5038865
1;22;1766609778.5038865;1766609829.3288445
1;23;1766609829.3288445;1766609879.5714076
1;24;1766609879.5714076;1766609930.0326095
1;25;1766609930.0326095;1766609974.7315955
1;26;1766609974.7315955;1766610022.8782434
1;27;1766610022.8782434;1766610067.6995995
1;28;1766610067.6995995;1766610115.6944356
1;29;1766610115.6944356;1766610160.5304086
1;30;1766610160.5304086;1766610220.8375525
2;1;1766616794;1766616795.370856
2;2;1766616795.370856;1766616795.962929
2;3;1766616795.962929;1766616796.506456
2;4;1766616796.506456;1766616797.2424428
2;5;1766616797.2424428;1766616797.8223598
2;6;1766616797.8223598;1766616798.3843029
2;7;1766616798.3843029;1766616798.927353
2;8;1766616798.927353;1766616799.689153
2;9;1766616799.689153;1766616800.412886
2;10;1766616800.412886;1766616800.9700809
2;11;1766616800.9700809;1766616801.5446718
2;12;1766616801.5446718;1766616802.4060237
2;13;1766616802.4060237;1766616803.1095119
2;14;1766616803.1095119;1766616803.7792218
2;15;1766616803.7792218;1766616804.3310847
2;16;1766616804.3310847;1766616804.8909256
2;17;1766616804.8909256;1766616805.4662898
2;18;1766616805.4662898;1766616806.7418869
2;19;1766616806.7418869;1766616807.7862678
2;20;1766616807.7862678;1766616808.3534636
2;21;1766616808.3534636;1766616808.9182518
2;22;1766616808.9182518;1766616809.4767237
2;23;1766616809.4767237;1766616810.0821297
2;24;1766616810.0821297;1766616811.1648138
2;25;1766616811.1648138;1766616811.8180928
2;26;1766616811.8180928;1766616812.4026217
2;27;1766616812.4026217;1766616812.9569187
2;28;1766616812.9569187;1766616813.5055997
2;29;1766616813.5055997;1766616814.1125727
2;30;1766616814.1125727;1766616814.7898548
3;1;1766616816;1766616860.405548
3;2;1766616860.405548;1766616886.66123
3;3;1766616886.66123;1766616935.28409
3;4;1766616935.28409;1766616974.7647212
3;5;1766616974.7647212;1766617004.3394883
3;6;1766617004.3394883;1766617060.6516113
3;7;1766617060.6516113;1766617100.5797744
3;8;1766617100.5797744;1766617127.7618964
3;9;1766617127.7618964;1766617179.3993273
3;10;1766617179.3993273;1766617233.3090084
3;11;1766617233.3090084;1766617285.9857953
3;12;1766617285.9857953;1766617310.6033874
3;13;1766617310.6033874;1766617362.8916783
3;14;1766617362.8916783;1766617424.9801073
3;15;1766617424.9801073;1766617449.2802963
3;16;1766617449.2802963;1766617497.1511493
3;17;1766617497.1511493;1766617551.9169083
3;18;1766617551.9169083;1766617581.5116813
3;19;1766617581.5116813;1766617638.4748564
3;20;1766617638.4748564;1766617695.2485783
3;21;1766617695.2485783;1766617734.9250124
3;22;1766617734.9250124;1766617789.5440283
3;23;1766617789.5440283;1766617836.4790504
3;24;1766617836.4790504;1766617867.6670253
3;25;1766617867.6670253;1766617910.3940043
3;26;1766617910.3940043;1766617950.9810824
3;27;1766617950.9810824;1766618015.1300945
3;28;1766618015.1300945;1766618040.3593676
3;29;1766618040.3593676;1766618075.3769157
3;30;1766618075.3769157;1766618128.9176948
4;1;1766610283;1766610299.847371
4;2;1766610299.847371;1766610317.1325972
4;3;1766610317.1325972;1766610339.5005412
4;4;1766610339.5005412;1766610364.611694
4;5;1766610364.611694;1766610387.5323212
4;6;1766610387.5323212;1766610408.0888662
4;7;1766610408.0888662;1766610430.8877573
4;8;1766610430.8877573;1766610455.6663992
4;9;1766610455.6663992;1766610480.3796902
4;10;1766610480.3796902;1766610504.3237581
4;11;1766610504.3237581;1766610527.7159512
4;12;1766610527.7159512;1766610551.2356293
4;13;1766610551.2356293;1766610574.5494123
4;14;1766610574.5494123;1766610598.5749311
4;15;1766610598.5749311;1766610626.887988
4;16;1766610626.887988;1766610653.490991
4;17;1766610653.490991;1766610679.0536752
4;18;1766610679.0536752;1766610701.3462331
4;19;1766610701.3462331;1766610735.027419
4;20;1766610735.027419;1766610757.8929071
4;21;1766610757.8929071;1766610780.1406202
4;22;1766610780.1406202;1766610809.9937341
4;23;1766610809.9937341;1766610834.1070662
4;24;1766610834.1070662;1766610855.8284342
4;25;1766610855.8284342;1766610877.6888072
4;26;1766610877.6888072;1766610901.1585593
4;27;1766610901.1585593;1766610925.8611224
4;28;1766610925.8611224;1766610950.4044623
4;29;1766610950.4044623;1766610974.1640754
4;30;1766610974.1640754;1766610998.7016094
5;1;1766612861;1766612983.474502
5;2;1766612983.474502;1766613116.27284
5;3;1766613116.27284;1766613242.83687
5;4;1766613242.83687;1766613379.603334
5;5;1766613379.603334;1766613505.3587909
5;6;1766613505.3587909;1766613637.190686
5;7;1766613637.190686;1766613769.523866
5;8;1766613769.523866;1766613898.8168988
