Tiempo	a9	a10	a11	a12
3	0.0	94.41936732083559	222.18492714435328	84.82113630976528
18	2578.0301256579532	2890.686097900495	1043.4951468785853	3703.6055880859494
34	2400115.852407122	1843307.8979945723	1472626.6088806733	1074418.7924574565
49	0.0	9073.04859605047	11073.573235940785	12558.73577597309
64	3786.833966722712	7639.755301158372	7518.880039562434	14943.292367250324
79	3762.5802792941777	11293.902051959441	15253.20639126575	14694.45762553874
94	3676.63828588448	11197.006063645184	15037.986478506662	18652.74224620585
109	3562.42087612845	11193.132457179632	18436.608646640692	7406.903052019533
124	3834.456413336098	7480.628830257766	7655.807693156814	11009.877667330205
139	3698.3530586205934	11187.176965133138	7516.846289357543	11174.24351258954
155	7197.371360320598	14837.170853834097	18614.984981107107	10599.142583845658
170	0.0	14824.19059876332	11387.785973029662	17779.06456093828
185	0.0	11207.754458212014	14827.587439197545	14658.667023509144
200	10747.75732839487	11183.336205456946	14689.574270419367	7445.7281314428055
