Tiempo	a9	a10	a11	a12
12	466.06323728285264	2202.886254163105	868.9311052925884	223.35084863968657
27	927334.6115392004	50554012.87842311	5066.9668673044525	1065657.693245274
42	48826832.579016924	43806156.743671864	5129.115115134717	14160787.644145202
57	36015885.926092915	43723790.27677799	4024.17147468403	46187647.56770237
72	43037410.653853096	43396590.25726115	894.057662100098	43244994.614579104
88	43854352.32998479	42908110.55739174	1904.8358269382456	43653604.67207874
103	42549547.19408108	42412557.28059636	1832.1330243729053	43507399.324595794
118	40086055.36130442	39381938.05438889	893.0473206788768	43236409.11254104
133	37956506.5141418	38099678.89432302	326.7433597165346	38724910.53572064
148	37971259.748168595	38120898.00172504	852.66650524484	35623774.25884169
163	38073294.44681021	37821146.4894359	3807.328419758081	35621327.98509064
180	34928444.62380477	38024417.35393919	8062.384037040639	35563217.507179596
203	35539574.02212969	35125385.95491184	34331.48211285821	35628336.79278345
218	35489950.96158342	35445559.35459137	15153.642346929313	35678829.820536524
233	35490562.05109609	35261880.19082164	98161.821145577	35351891.94705563
248	35225028.38353155	35265358.83120552	4403144.312220534	35421866.0551509
264	35347248.5312262	35219149.417156994	39501674.302695066	35462817.55573251
279	35758259.43656123	35671640.202766374	9091889.374003926	35625466.65611963
294	35503752.02787576	0.0	11656298.697920024	35336700.38637924
309	35199950.08017487	35483276.98962911	14115013.806132458	35320722.12681604
324	35667550.60387638	35366782.907313086	18412807.438508954	35612171.857910894
339	35296475.41439118	35392963.17899232	33026341.5353086	35816564.96574013
355	35530724.606398754	35254294.20109645	23226809.4540574	35312381.84201378
370	35478811.12182196	35313037.658056416	31935715.24241886	35450449.545873776
385	35572518.11971824	35297021.2616194	27723648.066051282	35487887.684447564
400	35685492.02514878	35318487.53592076	20733837.377079204	35631460.31265636
415	35448118.34200762	35479018.20305101	18880267.18762253	35524128.43738407
430	35640883.54812833	35578651.92024301	32344782.03675072	35467085.69178864
446	35319316.73274674	35204128.622664176	35757154.633588955	35317329.08178652
461	35630439.89092218	35295912.58571192	35767912.272959866	35501862.731807105
476	34327815.93835432	35198079.05916945	35954160.98140851	35617564.58245698
491	11736161.551642302	31405317.354809985	35811049.934354454	30560803.029296786
506	2184800.787210549	22018869.733370274	36030689.83013887	19733844.06094806
521	220.19084211945534	818594.0300379904	35700386.13317564	11607438.07679316
537	0.0	0.0	35682780.33233224	566465.5489208875
552	158.68863832671195	220.3715502421744	35729041.44740757	134.4886644795863
567	225.5922255384503	104.82301777835004	35723453.0679464	87.9933266889304
582	69.87624541856349	0.0	35975748.62722421	175.98820964908228
597	209.77734509512783	159.31709682089274	35802331.56147356	88.57216173812748
612	78.13386466924567	163.231564527601	35874884.50382818	87.34652993260883
627	207.69878774948882	206.99128213047982	35641955.58323131	175.94085527133197
643	142.62406326457858	0.0	35928794.58059396	172.47346192896367
658	136.79630734931678	101.99743817968294	35744017.68825666	87.97866059459746
673	0.0	204.90428991669788	35735685.89058481	86.27855897820555
688	73.78109301358461	51.985436600893735	35814814.10911104	130.23658040124457
703	67.66862378919497	103.2846642573271	35647600.86160446	85.261830177214
718	0.0	110.07671452667564	35844599.948361695	130.54911182164216
734	230.78443035487084	153.66721132249106	35925965.9761542	84.6055824577529
749	68.09817703127861	115.4955805465579	34648691.50438857	99.02629152408801
764	136.9914457660122	105.26625326514244	29666718.677453786	148.7226370799169
779	138.49860834970139	107.01912433535792	16750460.063128501	150.66949127286674
794	0.0	12006.992388859224	3015.1299218829718	575.1644989373675
809	48530513.73312473	43268346.33660668	6101.635306951627	27052151.88029766
824	43956758.2001282	43351612.147733524	2758.6663409280777	43303566.94334808
840	43476065.86657641	43625271.22135785	1275012.0609070463	43573747.7278414
855	43802275.37737472	43658394.82810098	2811672.545508055	43292052.8982552
870	43739999.099605486	42511344.723699756	2824684.9203640083	43314613.786845796
885	40987643.14434137	39177314.61185717	2752224.169867017	42795615.65352078
900	38340049.20793712	38299158.92632595	2757447.57940062	36085641.913844265
915	38222075.7110805	38210146.84510428	2779744.7039660234	35931730.625779495
931	38325416.40053828	37873220.81600294	4850650.919444329	0.0
946	38208627.55272252	38226155.14736854	7862900.337527124	35674526.13749892
961	38077254.34054456	37754659.50900591	7492873.238754068	35404803.2276152
976	38433429.12268551	37836347.397747986	8425677.718045104	35548752.59973427
991	38448445.8864929	37828421.4494025	16324156.011167996	35337813.37116328
1006	37561305.034732535	37895408.96785461	21752608.998051975	35449269.81078375
1022	35408386.615961604	37880125.70472689	29975096.74787984	35633645.1344271
1037	35802534.37546668	38124487.019017056	43482870.112234145	35631240.15679896
1052	35660967.72165536	37976545.534757875	43170520.02603451	35574016.33412363
1067	35719111.36950077	37898336.73149534	41075337.0538128	35597640.83295401
1082	35577971.976538874	35964238.37504712	0.0	35653945.21905821
1097	35638259.53700222	35209127.189188726	34165489.330295555	35362460.86787108
1113	35461523.1402531	35318534.22632233	31730615.818199415	35542378.88967205
1128	35489759.87752876	35615411.68952882	31611326.69532367	35304554.39139694
1143	35481685.18509398	35476653.56253756	31611066.48959667	35384487.3796353
1158	35431607.24925371	35385993.124640875	31641554.354031347	35324166.80877583
1173	35481713.40492215	35544203.716491245	31370076.151448123	35619380.6828011
1188	33996489.75122494	35278177.56313961	31272656.655611865	35435469.51372805
1204	31803041.096791152	31672651.144683927	31586723.968766313	35495380.02357441
1219	31724244.275486544	31810957.89843803	31580600.171250295	35718746.06193113
1234	31782858.174791332	28020785.719526604	31505739.566231158	35500347.192311846
1249	19906474.9881272	26501481.60296694	32229123.28542345	27979636.639490042
1264	3842986.632299359	21767416.084239345	31598456.079768118	21594875.721212164
1279	144.70214515849017	10798385.752610875	31420809.99170111	13506781.013656843
1296	233.73691410066562	249942.8466463536	31532972.998977687	5246631.302793197
1312	75.05738079270813	0.0	31808885.405209735	87.83394173892215
1327	286.480100300312	268.5626162701752	31801731.747991234	87.60369327092543
1342	72.33535703480244	53.904635516367854	28816770.365442082	274.10417456924915
1358	151.3706022684183	228.71821651756764	26566909.685937796	48.433765042573214
1373	278.40658354692164	165.2624870277196	27027440.413706113	95.20166194516234
1388	0.0	0.0	27402981.983668476	128.7432856570417
1403	153.4011366572231	164.66312734410167	26537718.76274999	131.33077848021873
1418	152.34436679444275	205.07194168131798	26992926.584947906	130.06435632451436
1433	149.98195472404362	105.24928029149771	27120100.25423891	131.91280582955574
1449	0.0	53.26469390809536	27550496.45896216	43.804410182144494
1464	138.79672623672522	161.31251177966595	24641153.98207562	134.90148359154816
1479	153.1517548812926	103.80740415807813	17281182.895415865	131.8503299740702
1494	141.8931815002486	162.53724868709685	13976189.904461747	87.45751121380367
1509	0.0	51.06853032359854	5419003.848830185	88.15827602408827
1524	2681.1440096593647	6587.358745225966	7510.160734015354	3166.1221518422153
1539	45878142.33029952	43919754.30783854	7125.3273673403255	43390188.05017776
