Tiempo	a9	a10	a11	a12
6	0.0	50.66309261776507	158.0764910712838	2515.1971737356625
21	0.0	1116.09489648398	654.6140278709773	1157.2957800917327
36	494078.9729148269	889635.6405153604	287598.5150463372	528217.343940095
51	503672.49825784564	1021420.6679948192	299217.1219263396	496750.5277000904
67	548181.4995087362	985384.4912811811	1482.2428188866002	531629.7180320362
82	480643.09974067745	2964443.5767945778	196439.63937483434	533556.6079924641
97	858095.5893973589	229.4349747984437	223110.00039484142	3087291.0949988007
113	1890535.709695112	148.6056672938168	33273.77917630524	35396.191249137824
128	323.66487602926793	0.0	250656.60382921287	88.62964450605213
143	0.0	134.44880302604287	250961.50235365576	95.82940388603136
158	0.0	133.87766227155458	233773.14266561347	88.58313407152892
173	155.6026757773757	132.6687829620391	244611.45922149153	130.6761909082532
188	74.73838357448578	44.99722437907476	206597.6752931408	43.518178837951275
204	71.02398100325837	87.8663813972287	249594.28195235156	216.64471374880523
219	75.17059367107227	88.77044983441941	188389.46430406472	0.0
234	141.47520024731756	180.91328725613653	221286.38597658658	173.06026732265948
249	72.0743755266862	44.796174111329016	188743.3586148182	50.04402231465094
264	24550.756130688784	22083.049708467493	2059503.5301141462	66540.39162671792
280	494507.3660977318	491493.2392089823	533819.8321483653	6033.3139275480435
295	617223.9266613149	828.4428711160273	691.1547083744779	237528.74649263528
310	543854.243093485	832380.9284352519	259977.1597817236	605376.8747284532
325	475111.68947124487	2999295.5898781256	154543.75012856134	499030.9833326851
341	455563.6675858885	728330.4584244317	14307.569815927036	505423.1697084879
356	1001101.2749257162	103.41203998046927	233251.63850206067	505768.9640097768
372	1532671.4850940816	45.562153673213906	253453.9050544488	3399915.767586774
387	77.37246921951882	146.70460698768497	219870.3156622464	65.33891427703668
402	155.22078844347968	133.26484409011434	272445.4427443116	142.39843634102493
417	78.18570990996436	89.50922791164368	226061.7008080931	85.14997626308352
432	0.0	89.50861504196189	275226.2874031095	129.18457665127238
447	138.37484496789983	133.5320122508565	55573.5564603734	86.03713173913769
462	140.26198412440718	134.51961422345136	115729.42440219935	86.01411683454178
478	75.45251826047897	89.91719568478875	98058.7557555285	129.8055702389963
493	136.18064325213433	132.04319695163983	48907.03180730969	43.097699743229896
508	0.0	88.27800877002068	222601.34335464975	43.06311623614281
523	138.34533376744017	135.43055390421767	86833.92434385773	129.5299672599323
538	160.19428527927028	89.81518480339088	19663.62980112998	89.75535576034338
553	27631.725492749894	26315.484885306934	2097008.418128757	149.6761831781175
569	478244.37750751106	474279.33326072356	522407.72466111154	68635.75583954938
584	386.0321681728214	821.4365395910106	983.6472221492976	5917.05274399768
599	581783.6880443192	833314.5653611266	193435.32776546926	207530.71977586576
614	436589.9117445391	857146.0746335053	57042.14421654213	538588.2113610927
629	501506.05276642943	2663096.605354001	38956.02817537278	504998.6984898331
645	516998.1779137588	770571.7437467282	111673.65426858359	484389.8148909158
660	2439131.213621781	211.34230688201262	252851.82710156916	3537911.185853444
676	225446.40425034706	48.157135471012445	138562.61196107825	43.54051077242475
691	140.41057284154	134.43171251221094	3239.469599908674	140.00550765383989
706	0.0	43.4854956797976	1230.0467637218533	87.68737853772006
721	210.30969738587737	179.69274484369905	21971.687529200448	87.12308500250802
736	76.42715245842933	43.316733580995354	215772.20859564724	85.91984933461994
751	139.66488376300782	89.3495348162949	10692.869041665132	170.73745053708552
767	0.0	130.5402709271293	1440.9187520562764	85.27125618044288
782	211.87555084347724	88.2547278843075	57760.028880778256	170.98899835612625
797	74.78095363240689	86.9682225860376	271717.8565044975	0.0
812	135.58625157728792	176.3806769490242	232856.82531045444	128.633224447933
827	0.0	43.23645077213645	275129.2357248513	135.3897264780337
842	277.3234526777267	178.11959752911702	51228.870066410294	51.13477831369266
858	0.0	86.08659937731922	96828.0786575045	147.47353185027836
873	213.19196723034605	88.06269855000079	184664.4071724281	130.01456407743507
888	0.0	43.01505915510934	97289.16256321667	84.99243937849998
903	157.7569781337306	132.32999913542065	1540.80738585867	86.3997632146161
918	0.0	43.74637345202733	1169.2046967349759	42.578353406488894
933	68.09135896547232	219.32280797709245	30650.96568277348	129.2617323325714
948	149.9953376828134	0.0	165320.4651970918	42.65938605495263
964	0.0	103.39935656461864	1877.042129510776	128.58521111350973
979	79.26954585738014	45.702032332303936	1968.5135001391684	138.28849621020723
994	208.13065514154732	144.88442707221955	75441.30438190438	171.25250751907006
1009	25477.964533163053	21353.059671532843	2096607.211630175	62604.14034193576
1024	504633.63884391484	458068.67814268044	532890.3719680504	385851.9468100153
1039	0.0	1108.330895093945	683.801733828499	1053.2985876126586
1055	357791.8435267175	889201.3962567743	479414.66178312805	621784.4899775912
1070	228873.02898352087	846910.3773242125	90439.09810483217	501782.0041790852
1085	258085.32140955495	2163415.3743684823	18548.608114367722	487891.2565561233
1100	287636.70947751164	1213771.7674909113	10470.865699537964	492898.84473303205
1115	258597.11740548827	90.34813384771347	71103.32438094444	3712957.2943468345
1131	515110.32828693517	89.53724960193038	1320.234513014555	130.2164070098754
1146	2524809.7161554643	135.60457324749325	17112.80197929536	0.0
1161	19468.20643417798	87.9767666946631	254322.5289674476	204.60078795671464
1176	76.52385451456067	44.100542271542366	125706.23431594006	43.62641875546891
1191	0.0	86.6908304467611	19695.156890080863	88.0899199045729
1206	74.38208738070912	88.85301564872265	4464.129402252622	0.0
1222	0.0	87.58741906501353	1599.6713707562537	50.670400394685565
1237	0.0	47.02967234850396	87856.40730423266	158.26755073785782
1252	0.0	52.02623821794987	57700.88853485587	143.62743244943675
1267	290.5759990741499	233.05481932885945	5523.9814164122845	129.93846267085522
1282	0.0	88.57611930579878	1322.6989839165333	43.68457802052144
1297	68.77953375879675	87.66751524277963	9289.136774318973	95.33596896621398
1312	137.57764738337136	87.51055033951998	2044.032328499071	215.2536982243182
1328	0.0	89.10050230144523	287722.2666233987	86.64139256434515
1343	147.38938793024047	130.60527213159017	27105.9050393448	127.65838763981593
1358	136.3650303483568	88.6086944231484	160455.19288168792	86.70134591903538
1373	0.0	43.735523469797336	23599.207687759546	126.87053189724685
1388	217.33449901623186	131.9514793380769	182555.40467400607	42.8772116034152
1403	0.0	130.79270504665095	11603.34793302186	84.38399095884525
1419	75.75606507584453	87.43849708204158	716.8251777223126	216.1860323387431
1434	509.23988996252416	87.16627867990174	888.6063085432537	92.99366565562785
1449	0.0	222.477504045167	1992.6833068595781	150.93596889980603
1464	74.9473617766425	86.29356481488794	1771.26958155185	0.0
1479	201.7131135148695	43.84731920375023	49886.55941482902	130.40563675536308
1494	0.0	0.0	12137.875737495908	86.42085011022165
1509	229.61730606380848	133.00533668610268	1170.0100027557928	129.20038311523388
1525	0.0	43.3221634560125	983.5911530255712	0.0
1540	136.84961815875025	132.77597798530945	54161.6435252316	215.57564330704042
1555	70.58102974948939	47.710244300379415	38921.06612013213	87.71464729950763
1570	0.0	159.8333123338502	166462.54994944506	85.43735815559513
1585	200.2433548271656	94.79865073777735	8086.6453528594975	141.46810012435074
1600	0.0	132.58532543063163	84628.61571749901	128.06731316589287
1616	220.18666053012015	46.336554332203235	9425.40786593093	43.58752969234251
1631	74.04147419981659	130.69244647039565	343232.26308863226	128.5515870478889
1646	77410.24779284428	88758.97684949137	1489815.9495110037	128.1595547014335
1661	957.8267968621105	6865.114486416057	8413.654792356994	135191.87604914547
1676	0.0	1024812.8802996227	367256.87578317913	4168.008279666491
1691	472393.5738868781	831791.9275325418	495498.5564923038	579793.6318451997
1707	458480.7258390459	885407.286541111	8217.737979478896	508909.57889157766
1722	432533.99763105396	4987656.399912237	1251.0085705496372	496614.6400741816
1737	507492.90069282963	45.87521063450258	470.5706181871612	495448.97519059095
1752	3556383.199838966	132.71147734906992	896.5079886827989	614286.5072294523
1768	189.13136126313358	44.580721749141816	405.26106527068185	2490367.9724917603
1783	0.0	87.91961747854948	631.8288363603502	89.2388948344905
1798	209.78587704069446	139.0526006986946	1500.886948008556	46.84298826855607
1813	0.0	43.524206811804326	2430.5154438912123	0.0
1830	69.78501365091651	49.016956198285335	2355.4642725281037	86.97565290905536
1846	68.55539759032428	54.71755056897644	250.6438363713026	172.69973029473798
1862	0.0	145.89026432566345	568.7681912489236	43.05085414135363
1877	208.9045352690108	46.32232731349766	508.6695555370767	42.87500674559269
1892	137.6683531686198	135.14508856460452	38155.75061009656	170.39176621381193
1907	0.0	0.0	316771.5566321079	85.72489581931383
1922	148.94173211277462	89.4728731043823	164780.64863109807	44.13124684020877
1938	67.45384026095272	131.9264536703378	1103.3465524941123	173.03645343597978
1953	0.0	132.57788903016598	2671.5321165758555	86.6201995139569
1968	0.0	43.6664280000329	1265.8342960444095	85.00678559478372
1983	153.57145781099797	133.28094936981796	2078.8752415555996	128.02112894458696
1998	133.76322055120022	128.46592394668144	1190.0083727616816	42.56461152133998
2013	67.51106288807466	88.72171954443678	1820.251324572414	129.15756464706269
2028	69.16096647270024	130.4637328228215	1436.1994009904515	127.31473647069186
2044	75.53836716106161	88.4022739089746	17873.29719212927	94.82244551680051
2059	67.19277239747345	43.288930155630226	7321.9743502535675	99.70528546118177
2074	70.08201605916024	175.76173138968647	105746.33462412683	142.45564880952705
2089	76.77981170718559	43.63985325023532	142753.4053589548	43.078047663718465
2104	172.21139440074563	177.15416459560393	24885.616420703533	129.87677250722888
2119	140.97913177728654	87.44340920433402	172156.3548625738	86.47145958648063
2134	135.18568318933248	133.06786807436495	87663.04579028145	175.64077122434975
2150	0.0	99.89116841222159	213290.7917795336	43.674892147528006
2165	70.4396259930078	55.81211143676657	74152.4448056242	172.98261679211632
2180	0.0	189.31635493608192	7707.5666051449825	47.353507284992375
2195	137.30212175527586	96.9309781397134	7018.213033561408	130.41887689604422
2210	144.41324507893995	43.750279618473726	131325.37283803962	84.38755265811459
2226	150.85535632520913	176.26413313552737	27630.084059482026	84.89583905774168
2241	0.0	130.6070290937461	4353.847311730441	85.30665878459811
2256	72.49432985162828	87.54738583546131	8495.507793313263	42.954532340839506
2271	145.6990363779571	0.0	179157.53085427996	170.259825322032
2286	72.69861065030098	132.52104549322743	79744.59024444717	86.78210530136712
2301	154.31120569609106	86.9288848800864	5170.5985661667955	169.35631712824107
2316	0.0	176.17788635492326	49952.62377028041	84.61313969300129
2332	0.0	43.668650364209896	191159.6883229615	126.77797533497215
2347	55779.664563255414	61461.209055595406	1690484.8201679417	113369.52378911652
2362	601467.6285567547	5629.180536442697	5868.88368549481	3412.752134232931
2377	0.0	1849.5039999567716	914.2433388027549	594083.8568926312
2392	523843.68978726113	828921.4131229569	38540.138961588986	502408.49928569887
2407	503824.67819961195	857192.7458503093	6979.233117088004	478415.72484266007
2423	372390.2308622453	5119672.854812699	86735.0098975411	498929.01771627425
2438	508190.40942971536	135.1329136079969	286140.3524592519	601946.1556184118
2453	3499676.6593633676	0.0	232633.0652117621	2437911.6825998714
2468	283.50048858067487	262.9480131543288	112263.30192306485	43.58730739601888
2483	0.0	47.937079941798004	7704.315039958962	137.14347545242867
2498	69.73771131888032	173.9695469199866	2006.2486100250994	86.07204396277666
2514	0.0	44.116993114720096	2151.1080331012886	173.89906331462785
2529	140.95937977891415	180.3667910646647	1884.4206124452874	85.89360158145428
2544	70.2324378589075	87.25987333081663	3531.9285242651395	168.77505521781742
2559	69.01223582647741	43.529490211606024	209273.37718185256	43.0762606137665
2574	223.7553274106188	131.58589433882386	263240.20566478156	42.7189014235558
2589	209.17584043834358	88.30665882010945	24022.350171012058	170.9383591051027
2604	0.0	87.64958727709949	5533.91317132418	0.0
2620	202.28079143285748	87.21994383419865	6228.026169508323	85.97376253437251
2635	0.0	0.0	6522.069405293437	228.90622176956384
2650	204.21010946032123	131.56526474432553	62436.88720770227	0.0
2665	144.86325319200753	43.7052825535275	189303.09261112905	140.09715897113085
2680	0.0	131.06581279807259	68259.92526033714	86.10779247221537
2695	0.0	177.03196960944683	2971.318259780556	85.99589347684756
2711	144.79090057970024	130.62188206045423	4395.227933356106	85.67412703751586
2726	68.85565556477755	48.788121565929615	3742.9451652699713	128.08857113289648
2741	230.6044028769806	50.943082961537876	1306.8520802691578	42.92815244568046
2756	68.81517415493727	151.1272175744176	1912.004057086408	42.557390064233914
2771	72.37825647320598	132.2698503289372	37324.25713004105	171.41923002664
2786	136.29365143418312	48.25904715955257	251688.45443238175	46.91838192132767
2801	0.0	87.62425710439682	49304.01760689869	173.07362213889138
2817	135.44120326437056	87.15597969383002	6753.822875820892	127.52142815410159
2832	144.2753963994328	129.04451440722215	3013.8582268615623	91.58897096961736
2847	70.15351584436372	131.0673819825053	2230.606975327916	84.41311015703715
2862	73.48679429653566	42.920261802994645	4561.344562969729	42.966655064909716
2877	0.0	178.7806644365564	204290.7324622303	127.5426054095244
2892	133.9749592872709	129.81349704042077	127675.3784662351	85.71848142564296
2908	67.58675275098066	87.9784311980009	8603.043928969144	126.23855814483483
2923	0.0	43.09100002348423	1238.0275791201273	85.50628534064629
2938	473.55960481770336	45.11743920416106	4297.840036014095	43.4620197967533
2953	0.0	175.4716037220694	18930.688108205795	203.07242633359508
2968	136.82511690951884	43.61703479893506	172564.54063119637	95.67912788192741
2983	56315.75955159021	56255.675498273056	1944758.830481996	85.51644819149747
2999	509939.07647884765	415586.9005768755	460794.8197911445	117244.72518918799
3014	591.8668825719506	1738.0101583424212	686.7543684656919	4360.838252949748
3029	579754.5280127955	830176.3248815917	262304.59997310844	585967.3845860092
3044	447655.2113264513	876518.6038363902	92835.14402924693	487865.04059165024
3060	383211.0670859151	4594506.098118823	5447.333397209644	487505.5357281732
3075	265142.9403003526	105599.72047407954	6242.300044241175	472906.45755338337
3090	269301.31586204603	88.96998251885175	5440.1849784411115	2811409.844201028
3105	898651.852413517	223.87856876794248	2946.0061693525317	86.68893439843319
3121	1037408.2967332331	183.0281354560144	7184.69897377368	122.62019472852349
3136	0.0	44.02584652359132	140196.36279380918	171.0974629358016
3151	245.53824765218886	43.638532559028825	319116.78576987225	92.8185472217761
3166	0.0	86.58036544372328	70026.75336624906	129.15155204562004
3181	68.74198796440847	90.52673220417462	7923.484708363395	132.89347719797865
3196	81.37221308611333	87.06819945073687	6596.45090998134	42.34641554054338
3212	279.06497002344577	132.09222419132945	182371.80769291407	170.66808187423274
3227	0.0	0.0	67741.67038069748	91.31715043944307
3242	212.22269217610358	222.9301832679659	5748.943007321293	95.93863656677306
3257	77.45088718647602	43.429180991533215	7559.945131983469	148.68989839226938
3272	0.0	87.51962618141435	136196.36247970708	94.08635219762101
3287	208.44670618772508	43.615372306876814	91896.25534472565	0.0
3302	0.0	44.310515249166635	6760.329144018889	216.01887601315977
3318	77.95605040550232	129.41350344782228	93496.10405078378	42.848715428039434
3333	207.07775245204567	86.86745470223018	151110.8481050265	214.71458081477323
3348	69.28371960244607	93.28051057221369	288888.4581368894	0.0
3363	138.78014857795088	99.57590980574489	189998.67248579083	215.47451534511055
3378	156.41866625438445	151.73141226621811	1140.2587128087878	46.73681323691737
3393	67.40269048288465	95.0222310253419	984.2342197939754	85.53691957063972
3409	68.11775521650911	131.37015634147915	817.9401128599187	83.93921922779641
3424	67.43562021292746	88.16081709886902	2027.9800303638915	85.35478593866341
3439	0.0	43.24965107670054	2451.2631722912192	0.0
3454	206.49731504738332	130.18059108502698	722.377254069373	169.65760315574707
3469	134.1547268861532	43.133854194851594	501.092592651844	45.46631678511854
3484	135.56638476997614	179.02958036780356	481.21590290889145	258.89020834861327
3499	0.0	130.37262575130444	638.7330243533851	0.0
3515	68.61838443291839	86.90281383446418	1105.4654949653848	85.5739087918587
3530	66.6435233862698	43.4720413181046	1946.828607777357	201.06171052297577
3545	199.82126704601572	132.9819321855437	2806.7199780621104	49.48602356854826
3560	73.72008448814974	87.30603791397996	6110.2333892235165	139.4627271182835
3575	278.05319093607363	131.37942335229368	4674.969149524347	129.33864099592904
