Tiempo	a9	a10	a11	a12
8	226.8935876348801	181.01107288023456	122489.36031668488	156.80512378945483
23	403.92812782159075	1906.4137242455968	1459.0476457478944	473.43253937372936
38	65948.41972847309	1077231.5732505864	297892.36902810796	60712.67437526895
54	66965.78411777169	1042462.0239227237	359937.30557606433	62504.50986249273
69	77631.33606237671	938054.883362307	470703.21525725274	73130.05790599286
84	106522.66438809186	88.53556767435744	442531.0202850317	109744.11825871591
99	199123.53302266233	133.13237903505564	466323.502684156	308476.8995048837
114	323396.43800453865	87.15831432429142	456749.4286219164	419750.3751392581
129	422781.39438359713	233.1712173332926	435760.331077698	452074.7472637877
144	425144.819048694	0.0	460921.8275220033	437583.8239784818
160	168699.52899444377	87.3108781908173	66651.20473092348	383417.54749866715
175	1483.718709894265	1801.877018470131	1835.986677263072	2235.8011827003443
190	946343.8674017885	1614482.6709641863	444196.5461510205	446546.58844298415
205	516888.6160319841	1183477.640486055	472410.43395449175	460773.3016071778
220	401503.58328868815	218359.0658960499	445522.2431131159	448021.4918715005
235	449501.52347150573	87.13950281481259	420997.38351037237	462874.2357486222
250	144755.38338101842	179.72665595412255	462401.1758495432	445436.3774973726
266	140.59731256321072	43.60193237538449	434832.38918921957	1946.301220945269
281	0.0	174.66206475105136	433840.29503226164	700.2721633587405
296	2013.3146649088803	1704.1693212091923	2885.248231485337	542860.0322324387
311	591653.1609436239	1181967.522550552	457866.67475172016	585614.2958258484
326	499747.3972628917	1079052.6765075568	457702.0056621394	457561.9473450225
341	308543.07028507325	165222.4077850101	449298.71310956124	442245.39772743906
356	24223.473378759027	305.26921985149386	472840.34224162507	469207.24944642716
372	113127.28402161754	44.20313773271162	464349.7947527787	128696.55689582489
388	0.0	445.37109081620815	3371.2771079237477	45.73845124170184
403	706511.120253471	1682203.4947278912	373542.3734977136	1159.3092839168105
418	506667.0088745343	1201615.4897724288	464139.0912540722	619954.9501501564
433	490400.35773331637	490974.0465713013	415612.8059637534	454519.7020587158
449	496890.53440837667	43.95543027310632	451574.0081104915	465971.5899081851
464	282953.0630917646	131.88181243075525	452852.3756315929	449016.8247401629
479	203.03574689454865	134.60285570107865	448446.96078204276	435211.2418479721
494	206.64418365727641	87.41540320348926	451781.14977252536	22377.55494845826
509	197.12826588245574	1869.0977524220943	2412.432930755615	143.0012168045249
525	919000.2884736917	1274540.4483972322	450609.7799406322	1664.4734340400807
540	371750.29223764746	1096690.3175413227	499084.11480656546	610276.1754813207
555	484502.2549750399	218138.84935066692	440133.93380392727	453829.9074212827
570	507756.26780148165	88.06568011649884	462468.31154925516	463821.72782994993
585	149707.19273481081	96.62176395354793	480207.3630257932	473211.71687523637
600	158.1116147027537	184.7866680578515	460619.9555763742	393543.81436746893
615	0.0	44.058686750270425	443214.67392092163	231.3404495540075
631	2020.7789737015964	2591.520946711991	3047.633668725193	0.0
646	649194.2226321127	1186437.748625065	451323.03506207594	2324.5735116889514
661	326051.9655955912	1130521.6865091054	477616.9661067228	458752.7867100936
