"query","mean_total_ms","mean_prop_w1","mean_prop_w2","mean_prop_coord","sd_total_ms","sd_prop_w1","sd_prop_w2","sd_prop_coord"
"Q1",4470.0026,0.87564,0,0.12436,276.194126407979,0.0394130040581645,0,0.0394130040581645
"Q2",519.3205,0.09519,0,0.90481,237.118678359007,0.0471298077417867,0,0.0471298077417867
"Q3",6789.5115,0,0,1,1372.00278166184,0,0,0
"Q4",398.7886,0.3149,0,0.6851,83.3614040471435,0.0654944781387459,0,0.0654944781387459
"Q5",8058.0905,0,0,1,1290.15151460536,0,0,0
"Q6",292.4749,0.25852,0,0.74148,25.15031600177,0.0418666878980838,0,0.0418666878980838
"Q7",7558.7705,0,0,1,1124.69257476672,0,0,0
"Q8",35069.8095,0,0,1,3685.94294797884,0,0,0
"Q9",178589.1037,0,0,1,37053.0912965513,0,0,0
"Q10",8859.6421,0,0,1,1543.5147982485,0,0,0
"Q11",699.7041,0.05453,0,0.94547,655.215297231791,0.0289055569436436,0,0.0289055569436436
"Q12",808.0056,0.24749,0,0.75251,751.288927964202,0.12098672516713,0,0.12098672516713
"Q13",795.8762,0.67445,0,0.32555,89.1352555748847,0.064275816257404,0,0.064275816257404
"Q14",6512.34,0,0,1,1743.61782863741,0,0,0
"Q15",4877.6067,0.02223,0,0.97777,1242.23497368619,0.00586364505519675,0,0.00586364505519677
"Q16",4187.7441,0.02379,0,0.97621,1087.47253940598,0.0117435987291422,0,0.0117435987291422
"Q17",292.8909,0.02323,0,0.97677,35.0192753064493,0.0101416687208982,0,0.0101416687208982
"Q18",1081.4436,0.44658,0,0.55342,491.343485654542,0.15368332375375,0,0.15368332375375
"Q19",8713.692,0,0,1,1302.24624221902,0,0,0
"Q20",769.1049,0.05352,0,0.94648,803.684742955629,0.0318368340134505,0,0.0318368340134505
"Q21",1416.4942,0.65251,0,0.34749,381.189384911607,0.136552142665967,0,0.136552142665967
"Q22",576.0188,0.24363,0,0.75637,203.844575349728,0.0694709859501712,0,0.0694709859501712
