"G1","G2","G5","G10","G20","G50"
108.7,40.82,172.1,154.63,135.45,124.34
61.87,101.45,109.97,-70.82,1663.2,109.71
18.08,-36.59,113.97,186.38,18.29,-2.11
186.34,152.21,102.96,157.53,3779.98,100.21
4.65,134.31,407.24,199.51,95.98,5.89
349.59,296.31,258.75,36139.89,102052.55,25437.33
0.96,215.17,39.46,102.96,75.42,-9.94
1.98,-16.88,-13.5,7.23,6.21,-23.25
26.6,-4.41,-10.56,11.04,4.14,5.02
11.63,101.9,43.92,253.75,335.71,126.53
79.78,53.97,-43.3,152.37,142.96,56366.56
268.93,38.56,1024.57,96888.34,717.11,106.52
-51.37,-84.09,24.3,-99.93,-6.35,-4.25
-19.9,-84.54,185.51,967.28,1060.05,458.48
224.78,153.23,816.76,1143.82,242.48,147.56
13.92,47.69,118.83,30.54,561.36,13.91
153315.74,1.65,19357883.52,252599.81,478815.21,1194406.52
9.29,10.76,271.2,112.11,14500.68,3318.69
5654.82,14560.34,18793.59,107848.29,196560.81,433277.93
195896.89,2651876.55,13474834.24,75591.64,533477.47,1493.3
-3.15,7.07,9.06,19.58,34.4,45.19
5.71,-13.64,331.63,-67.77,106.59,24.5
