1;1;1767242515;1767242754.806496
1;2;1767242754.806496;1767242937.953044
1;3;1767242937.953044;1767243089.0914578
1;4;1767243089.0914578;1767243235.061024
1;5;1767243235.061024;1767243390.2764769
1;6;1767243390.2764769;1767243545.0117378
1;7;1767243545.0117378;1767243691.8058448
1;8;1767243691.8058448;1767243840.163128
1;9;1767243840.163128;1767243965.7701628
1;10;1767243965.7701628;1767244089.1893668
1;11;1767244089.1893668;1767244215.7603638
1;12;1767244215.7603638;1767244334.0159929
1;13;1767244334.0159929;1767244462.994341
1;14;1767244462.994341;1767244584.1459858
1;15;1767244584.1459858;1767244718.6665149
1;16;1767244718.6665149;1767244873.1331449
1;17;1767244873.1331449;1767244997.28209
1;18;1767244997.28209;1767245128.769283
1;19;1767245128.769283;1767245271.817478
1;20;1767245271.817478;1767245402.739963
1;21;1767245402.739963;1767245533.389534
1;22;1767245533.389534;1767245651.963348
1;23;1767245651.963348;1767245787.887311
1;24;1767245787.887311;1767245916.461152
1;25;1767245916.461152;1767246035.755057
1;26;1767246035.755057;1767246177.298588
1;27;1767246177.298588;1767246294.251686
1;28;1767246294.251686;1767246415.047723
1;29;1767246415.047723;1767246551.9786382
1;30;1767246551.9786382;1767246678.2906332
2;1;1767277053;1767277108.947341
2;2;1767277108.947341;1767277150.456593
2;3;1767277150.456593;1767277206.6889741
2;4;1767277206.6889741;1767277256.081005
2;5;1767277256.081005;1767277301.686268
2;6;1767277301.686268;1767277343.086637
2;7;1767277343.086637;1767277394.3228161
2;8;1767277394.3228161;1767277442.206732
2;9;1767277442.206732;1767277478.489471
2;10;1767277478.489471;1767277523.695113
2;11;1767277523.695113;1767277572.603962
2;12;1767277572.603962;1767277642.934782
2;13;1767277642.934782;1767277668.439933
2;14;1767277668.439933;1767277725.2549062
2;15;1767277725.2549062;1767277764.1306963
2;16;1767277764.1306963;1767277800.6963432
2;17;1767277800.6963432;1767277843.040466
2;18;1767277843.040466;1767277895.3653271
2;19;1767277895.3653271;1767277941.531181
2;20;1767277941.531181;1767277997.342369
2;21;1767277997.342369;1767278053.474265
2;22;1767278053.474265;1767278091.813468
2;23;1767278091.813468;1767278146.101947
2;24;1767278146.101947;1767278188.6097112
2;25;1767278188.6097112;1767278223.283441
2;26;1767278223.283441;1767278258.42401
