query,total_ms,prop_w1,prop_w2,prop_coord
Q1,32008.400,0.6724,0.0000,0.3276
Q1,32012.424,0.6732,0.0000,0.3268
Q1,29381.316,0.7689,0.0000,0.2311
Q1,23117.156,0.9357,0.0000,0.0643
Q1,23178.699,0.9216,0.0000,0.0784
Q1,23168.500,0.9322,0.0000,0.0678
Q1,24073.167,0.9041,0.0000,0.0959
Q1,24089.899,0.8920,0.0000,0.1080
Q1,25636.506,0.8333,0.0000,0.1667
Q1,28427.659,0.7556,0.0000,0.2444
Q2,694.784,0.5233,0.0000,0.4767
Q2,444.635,0.3006,0.0000,0.6994
Q2,500.919,0.2116,0.0000,0.7884
Q2,435.075,0.3292,0.0000,0.6708
Q2,466.766,0.1892,0.0000,0.8108
Q2,643.454,0.1536,0.0000,0.8464
Q2,450.313,0.2483,0.0000,0.7517
Q2,493.016,0.2851,0.0000,0.7149
Q2,469.481,0.2480,0.0000,0.7520
Q2,481.066,0.2249,0.0000,0.7751
Q3,21914.834,0.0000,0.0000,1.0000
Q3,19580.643,0.0000,0.0000,1.0000
Q3,19079.590,0.0000,0.0000,1.0000
Q3,19999.147,0.0000,0.0000,1.0000
Q3,17986.057,0.0000,0.0000,1.0000
Q3,21057.841,0.0000,0.0000,1.0000
Q3,19865.362,0.0000,0.0000,1.0000
Q3,20213.766,0.0000,0.0000,1.0000
Q3,21193.394,0.0000,0.0000,1.0000
Q3,19197.183,0.0000,0.0000,1.0000
Q4,4796.900,0.7904,0.0000,0.2096
Q4,4494.880,0.1440,0.0000,0.8560
Q4,2068.354,0.3123,0.0000,0.6877
Q4,2185.080,0.3040,0.0000,0.6960
Q4,1629.862,0.4188,0.0000,0.5812
Q4,1409.740,0.4601,0.0000,0.5399
Q4,1422.744,0.4248,0.0000,0.5752
Q4,1449.812,0.4289,0.0000,0.5711
Q4,1716.751,0.3669,0.0000,0.6331
Q4,1203.652,0.5123,0.0000,0.4877
Q5,61242.256,0.0000,0.0000,1.0000
Q5,77931.848,0.0000,0.0000,1.0000
Q5,84579.722,0.0000,0.0000,1.0000
Q5,87432.972,0.0000,0.0000,1.0000
Q5,83063.739,0.0000,0.0000,1.0000
Q5,89910.972,0.0000,0.0000,1.0000
Q5,76800.057,0.0000,0.0000,1.0000
Q5,88894.598,0.0000,0.0000,1.0000
Q5,96326.721,0.0000,0.0000,1.0000
Q5,71034.879,0.0000,0.0000,1.0000
Q6,727.840,0.4988,0.0000,0.5012
Q6,486.550,0.6180,0.0000,0.3820
Q6,561.492,0.6992,0.0000,0.3008
Q6,570.640,0.5842,0.0000,0.4158
Q6,564.963,0.4923,0.0000,0.5077
Q6,584.385,0.4889,0.0000,0.5111
Q6,576.122,0.5496,0.0000,0.4504
Q6,638.402,0.4576,0.0000,0.5424
Q6,1543.479,0.1725,0.0000,0.8275
Q6,1108.435,0.3135,0.0000,0.6865
Q7,23980.008,0.0000,0.0000,1.0000
Q7,28328.046,0.0000,0.0000,1.0000
Q7,29690.700,0.0000,0.0000,1.0000
Q7,27789.233,0.0000,0.0000,1.0000
Q7,27721.045,0.0000,0.0000,1.0000
Q7,25428.336,0.0000,0.0000,1.0000
Q7,25292.029,0.0000,0.0000,1.0000
Q7,28435.861,0.0000,0.0000,1.0000
Q7,26337.689,0.0000,0.0000,1.0000
Q7,31953.794,0.0000,0.0000,1.0000
Q8,171325.681,0.0000,0.0000,1.0000
Q8,161855.239,0.0000,0.0000,1.0000
Q8,143182.711,0.0000,0.0000,1.0000
Q8,147895.405,0.0000,0.0000,1.0000
Q8,145175.616,0.0000,0.0000,1.0000
