"query","mean_total_ms","mean_prop_w1","mean_prop_w2","mean_prop_coord","sd_total_ms","sd_prop_w1","sd_prop_w2","sd_prop_coord"
"Q1",26509.3726,0.8289,0,0.1711,3632.62309282407,0.104367970821193,0,0.104367970821193
"Q2",507.9509,0.27138,0,0.72862,88.2427527857733,0.102895802743466,0,0.102895802743466
"Q3",20008.7817,0,0,1,1154.52516989165,0,0,0
"Q4",2237.7775,0.41625,0,0.58375,1306.23980143525,0.167111880354317,0,0.167111880354317
"Q5",81721.7764,0,0,1,10255.6790981874,0,0,0
"Q6",736.2308,0.48746,0,0.51254,333.02412322126,0.151144568028244,0,0.151144568028244
"Q7",27495.6741,0,0,1,2338.981524952,0,0,0
"Q8",151244.2573,0,0,1,11102.7886513178,0,0,0
"Q9",421419.6249,0,0,1,20729.3575084173,0,0,0
"Q10",21016.933,0,0,1,2213.48952143623,0,0,0
"Q11",919.9731,0.20962,0,0.79038,833.122298405282,0.0685725374248969,0,0.0685725374248969
"Q12",1348.2066,0.59678,0,0.40322,577.027457132616,0.147972383309259,0,0.147972383309259
"Q13",3855.6422,0.77635,0,0.22365,592.453564139053,0.0915901407843054,0,0.0915901407843054
"Q14",8324.8929,0,0,1,2006.26027144333,0,0,0
"Q15",13039.4617,0.06072,0,0.93928,1320.80539515824,0.00708892720296159,0,0.0070889272029616
"Q16",13754.2069,0.07675,0,0.92325,1710.47675988951,0.0124767561667464,0,0.0124767561667464
"Q17",654.3141,0.07062,0,0.92938,649.592769391281,0.0858102791045455,0,0.0858102791045455
"Q18",1714.6765,0.62106,0,0.37894,504.46211743384,0.139690556429401,0,0.139690556429401
"Q19",25894.5135,0,0,1,4720.15985609168,0,0,0
"Q20",1321.0303,0.14342,0,0.85658,1191.92667110375,0.105857690635431,0,0.105857690635431
"Q21",14118.2788,0.9861,0,0.0139,2949.31118273368,0.00396764693769774,0,0.00396764693769774
"Q22",2159.6313,0.4393,0,0.5607,973.5854382645,0.15020445325548,0,0.15020445325548
