Consulta	Iteracion	Tiempo	Manager	Worker1	Worker2
1	1	25402.301	568069.8062899695	2661676.173722167	2472301.3503735047
1	2	22005.882	560768.137828659	2627464.397710314	2440523.6980550797
1	3	22341.626	537402.7987524652	2517986.714472384	2338835.2106361184
1	4	22299.969	533021.7976756787	2497459.6488652723	2319768.6192450635
1	5	24821.395	537402.7987524652	2517986.714472384	2338835.2106361184
1	6	22001.286	503815.1238304358	2360612.5448178602	2192658.009971362
1	7	23491.955	508196.1249072222	2381139.610424972	2211724.6013624175
1	8	25777.176	503815.1238304358	2360612.5448178602	2192658.009971362
1	9	23661.845	500894.4564459115	2346927.834413119	2179946.949043992
1	10	25594.973	489211.7869078143	2292188.992794154	2129102.7053345116
1	11	22313.883	531561.4639834166	2490617.293662902	2313413.088781378
1	12	24414.287	521339.1281375815	2442720.807246308	2268924.375535583
1	13	27323.535	512577.12598400866	2401666.676032084	2230791.192753473
1	14	27476.662	496513.45536912506	2326400.768806007	2160880.357652937
1	15	30491.539	519878.7944453194	2435878.452043937	2262568.845071898
1	16	31070.770	511116.79229174653	2394824.3208297133	2224435.6622897875
1	17	22807.212	508196.1249072222	2381139.610424972	2211724.6013624175
1	18	24438.121	514037.45967627084	2408509.0312344544	2237146.7232171576
1	19	22383.626	499434.12275364937	2340085.4792107483	2173591.418580307
1	20	24456.719	487751.4532155522	2285346.637591784	2122747.174870827
1	21	22297.846	503815.1238304358	2360612.5448178602	2192658.009971362
1	22	22334.248	522799.4618298437	2449563.162448678	2275279.905999268
1	23	22382.726	537402.7987524652	2517986.714472384	2338835.2106361184
1	24	22395.834	478989.4510619793	2244292.50637756	2084613.9920887162
1	25	24716.634	562228.4715209211	2634306.7529126843	2446879.2285187645
1	26	24203.232	521339.1281375815	2442720.807246308	2268924.375535583
1	27	24908.736	524259.7955221058	2456405.517651049	2281635.436462953
1	28	23910.961	481910.1184465036	2257977.216782301	2097325.0530160866
1	29	24725.168	506735.7912149601	2374297.2552226014	2205369.0708987326
1	30	22378.505	499434.12275364937	2340085.4792107483	2173591.418580307
2	1	948.886	568069.8062899695	2661676.173722167	2472301.3503735047
2	2	377.255	560768.137828659	2627464.397710314	2440523.6980550797
2	3	393.962	537402.7987524652	2517986.714472384	2338835.2106361184
2	4	413.868	533021.7976756787	2497459.6488652723	2319768.6192450635
2	5	396.033	537402.7987524652	2517986.714472384	2338835.2106361184
2	6	399.328	503815.1238304358	2360612.5448178602	2192658.009971362
2	7	401.657	508196.1249072222	2381139.610424972	2211724.6013624175
2	8	412.046	503815.1238304358	2360612.5448178602	2192658.009971362
2	9	522.960	500894.4564459115	2346927.834413119	2179946.949043992
2	10	386.784	489211.7869078143	2292188.992794154	2129102.7053345116
2	11	372.925	531561.4639834166	2490617.293662902	2313413.088781378
2	12	417.950	521339.1281375815	2442720.807246308	2268924.375535583
2	13	395.935	512577.12598400866	2401666.676032084	2230791.192753473
2	14	425.812	496513.45536912506	2326400.768806007	2160880.357652937
2	15	473.302	519878.7944453194	2435878.452043937	2262568.845071898
2	16	448.758	511116.79229174653	2394824.3208297133	2224435.6622897875
2	17	416.736	508196.1249072222	2381139.610424972	2211724.6013624175
2	18	383.998	514037.45967627084	2408509.0312344544	2237146.7232171576
2	19	374.977	499434.12275364937	2340085.4792107483	2173591.418580307
2	20	406.579	487751.4532155522	2285346.637591784	2122747.174870827
2	21	390.051	503815.1238304358	2360612.5448178602	2192658.009971362
2	22	402.775	522799.4618298437	2449563.162448678	2275279.905999268
2	23	423.053	537402.7987524652	2517986.714472384	2338835.2106361184
2	24	438.554	478989.4510619793	2244292.50637756	2084613.9920887162
2	25	397.102	562228.4715209211	2634306.7529126843	2446879.2285187645
2	26	421.640	521339.1281375815	2442720.807246308	2268924.375535583
2	27	418.513	524259.7955221058	2456405.517651049	2281635.436462953
2	28	427.618	481910.1184465036	2257977.216782301	2097325.0530160866
2	29	438.464	506735.7912149601	2374297.2552226014	2205369.0708987326
2	30	446.523	499434.12275364937	2340085.4792107483	2173591.418580307
3	1	10420.149	568069.8062899695	2661676.173722167	2472301.3503735047
3	2	10433.401	560768.137828659	2627464.397710314	2440523.6980550797
3	3	10331.829	537402.7987524652	2517986.714472384	2338835.2106361184
3	4	9730.178	533021.7976756787	2497459.6488652723	2319768.6192450635
3	5	10020.901	537402.7987524652	2517986.714472384	2338835.2106361184
3	6	9953.583	503815.1238304358	2360612.5448178602	2192658.009971362
3	7	8910.598	508196.1249072222	2381139.610424972	2211724.6013624175
3	8	10073.126	503815.1238304358	2360612.5448178602	2192658.009971362
3	9	9871.086	500894.4564459115	2346927.834413119	2179946.949043992
3	10	9678.178	489211.7869078143	2292188.992794154	2129102.7053345116
3	11	11026.848	531561.4639834166	2490617.293662902	2313413.088781378
3	12	10182.104	521339.1281375815	2442720.807246308	2268924.375535583
3	13	9289.069	512577.12598400866	2401666.676032084	2230791.192753473
3	14	9588.261	496513.45536912506	2326400.768806007	2160880.357652937
3	15	9213.803	519878.7944453194	2435878.452043937	2262568.845071898
3	16	9227.127	511116.79229174653	2394824.3208297133	2224435.6622897875
3	17	9877.048	508196.1249072222	2381139.610424972	2211724.6013624175
3	18	9562.976	514037.45967627084	2408509.0312344544	2237146.7232171576
3	19	9350.075	499434.12275364937	2340085.4792107483	2173591.418580307
3	20	9351.459	487751.4532155522	2285346.637591784	2122747.174870827
3	21	9282.314	503815.1238304358	2360612.5448178602	2192658.009971362
3	22	9137.605	522799.4618298437	2449563.162448678	2275279.905999268
3	23	9358.946	537402.7987524652	2517986.714472384	2338835.2106361184
3	24	9362.060	478989.4510619793	2244292.50637756	2084613.9920887162
3	25	9516.324	562228.4715209211	2634306.7529126843	2446879.2285187645
3	26	9568.056	521339.1281375815	2442720.807246308	2268924.375535583
3	27	9703.158	524259.7955221058	2456405.517651049	2281635.436462953
3	28	9275.310	481910.1184465036	2257977.216782301	2097325.0530160866
3	29	9513.553	506735.7912149601	2374297.2552226014	2205369.0708987326
3	30	9667.062	499434.12275364937	2340085.4792107483	2173591.418580307
4	1	7993.786	568069.8062899695	2661676.173722167	2472301.3503735047
4	2	7980.898	560768.137828659	2627464.397710314	2440523.6980550797
4	3	11677.822	537402.7987524652	2517986.714472384	2338835.2106361184
4	4	11751.416	533021.7976756787	2497459.6488652723	2319768.6192450635
4	5	15417.788	537402.7987524652	2517986.714472384	2338835.2106361184
4	6	8008.220	503815.1238304358	2360612.5448178602	2192658.009971362
4	7	11791.176	508196.1249072222	2381139.610424972	2211724.6013624175
4	8	11648.193	503815.1238304358	2360612.5448178602	2192658.009971362
4	9	11768.451	500894.4564459115	2346927.834413119	2179946.949043992
4	10	11714.531	489211.7869078143	2292188.992794154	2129102.7053345116
4	11	11730.392	531561.4639834166	2490617.293662902	2313413.088781378
4	12	19108.404	521339.1281375815	2442720.807246308	2268924.375535583
4	13	11705.698	512577.12598400866	2401666.676032084	2230791.192753473
4	14	11743.085	496513.45536912506	2326400.768806007	2160880.357652937
4	15	8028.037	519878.7944453194	2435878.452043937	2262568.845071898
4	16	15489.840	511116.79229174653	2394824.3208297133	2224435.6622897875
4	17	14940.498	508196.1249072222	2381139.610424972	2211724.6013624175
4	18	11651.380	514037.45967627084	2408509.0312344544	2237146.7232171576
4	19	7980.445	499434.12275364937	2340085.4792107483	2173591.418580307
4	20	15378.829	487751.4532155522	2285346.637591784	2122747.174870827
4	21	11743.349	503815.1238304358	2360612.5448178602	2192658.009971362
4	22	11792.578	522799.4618298437	2449563.162448678	2275279.905999268
4	23	19657.255	537402.7987524652	2517986.714472384	2338835.2106361184
4	24	8135.630	478989.4510619793	2244292.50637756	2084613.9920887162
4	25	11877.311	562228.4715209211	2634306.7529126843	2446879.2285187645
4	26	11959.074	521339.1281375815	2442720.807246308	2268924.375535583
4	27	15665.096	524259.7955221058	2456405.517651049	2281635.436462953
4	28	8203.166	481910.1184465036	2257977.216782301	2097325.0530160866
4	29	15110.657	506735.7912149601	2374297.2552226014	2205369.0708987326
4	30	15567.398	499434.12275364937	2340085.4792107483	2173591.418580307
5	1	55634.092	568069.8062899695	2661676.173722167	2472301.3503735047
5	2	68637.236	560768.137828659	2627464.397710314	2440523.6980550797
5	3	53441.161	537402.7987524652	2517986.714472384	2338835.2106361184
5	4	49298.222	533021.7976756787	2497459.6488652723	2319768.6192450635
5	5	13478.613	537402.7987524652	2517986.714472384	2338835.2106361184
5	6	11787.871	503815.1238304358	2360612.5448178602	2192658.009971362
5	7	11591.555	508196.1249072222	2381139.610424972	2211724.6013624175
5	8	11231.481	503815.1238304358	2360612.5448178602	2192658.009971362
5	9	11806.481	500894.4564459115	2346927.834413119	2179946.949043992
5	10	11449.934	489211.7869078143	2292188.992794154	2129102.7053345116
5	11	11502.910	531561.4639834166	2490617.293662902	2313413.088781378
5	12	11472.349	521339.1281375815	2442720.807246308	2268924.375535583
5	13	11611.855	512577.12598400866	2401666.676032084	2230791.192753473
5	14	11121.464	496513.45536912506	2326400.768806007	2160880.357652937
5	15	10952.165	519878.7944453194	2435878.452043937	2262568.845071898
5	16	10955.794	511116.79229174653	2394824.3208297133	2224435.6622897875
5	17	11081.979	508196.1249072222	2381139.610424972	2211724.6013624175
5	18	11224.593	514037.45967627084	2408509.0312344544	2237146.7232171576
5	19	10904.902	499434.12275364937	2340085.4792107483	2173591.418580307
