"query","mean_total_ms","mean_prop_w1","mean_prop_w2","mean_prop_coord","sd_total_ms","sd_prop_w1","sd_prop_w2","sd_prop_coord"
"Q1",4546.4973,0.871,0,0.129,279.629881521211,0.0409179395592908,0,0.0409179395592908
"Q2",1091.0204,0.34021,0,0.65979,946.898282657905,0.236206517221218,0,0.236206517221218
"Q3",8283.9787,0,0,1,959.447655658429,0,0,0
"Q4",1468.4879,0.62748,0,0.37252,245.835936611956,0.0919195276073346,0,0.0919195276073346
"Q5",8686.354,0,0,1,1307.43374498935,0,0,0
"Q6",796.4722,0.59366,0,0.40634,97.7243217568914,0.0746715057955696,0,0.0746715057955696
"Q7",10401.1292,0,0,1,297.511340889273,0,0,0
"Q8",39992.0831,0,0,1,2559.92803194949,0,0,0
"Q9",109808.0519,0,0,1,3540.01144158711,0,0,0
"Q10",10678.0453,0,0,1,1123.84526609395,0,0,0
"Q11",535.1997,0.20742,0,0.79258,83.9410714503534,0.0628294658403028,0,0.0628294658403028
"Q12",1157.0794,0.56067,0,0.43933,453.136138937467,0.14605546929544,0,0.14605546929544
"Q13",1032.9474,0.55472,0,0.44528,357.417013547108,0.14983527844492,0,0.14983527844492
"Q14",7380.0968,0,0,1,1598.59414321958,0,0,0
"Q15",5507.4806,0.12196,0,0.87804,1196.88499222126,0.0276112376478209,0,0.027611237647821
"Q16",4322.2501,0.02316,0,0.97684,1333.45475943843,0.00759374011201917,0,0.00759374011201916
"Q17",113919.844,0.99771,0,0.00229,905.080774777463,0.000366515120197423,0,0.000366515120197426
"Q18",1022.6573,0.59413,0,0.40587,318.33785142799,0.150629088602877,0,0.150629088602877
"Q19",8793.3936,0,0,1,1290.35987199887,0,0,0
"Q20",169052.7343,0.95473,0,0.04527,1192.75698959605,0.00525696363566142,0,0.00525696363566143
"Q21",1711.5354,0.6487,0,0.3513,302.426090204679,0.110330382639295,0,0.110330382639295
"Q22",762.948,0.20716,0,0.79284,438.361776337257,0.0576740688890789,0,0.0576740688890789
