"query","mean_total_ms","mean_prop_w1","mean_prop_w2","mean_prop_coord","sd_total_ms","sd_prop_w1","sd_prop_w2","sd_prop_coord"
"Q1",4642.0738,0.81895,0,0.18105,314.975956629779,0.0529037123251079,0,0.0529037123251079
"Q2",772.5148,0.27491,0,0.72509,462.911344204578,0.0870798541569748,0,0.0870798541569748
"Q3",9962.7433,0,0,1,1118.4887898121,0,0,0
"Q4",1404.2553,0.65022,0,0.34978,295.580415754438,0.101100157160005,0,0.101100157160005
"Q5",11623.781,0,0,1,746.923522469633,0,0,0
"Q6",876.1563,0.55871,0,0.44129,277.168266222705,0.117866444664195,0,0.117866444664195
"Q7",11320.214,0,0,1,971.174965892117,0,0,0
"Q8",44030.3781,0,0,1,2252.45942090697,0,0,0
"Q9",120783.5851,0,0,1,7399.83207742404,0,0,0
"Q10",10508.3925,0,0,1,1126.71072904078,0,0,0
"Q11",552.5593,0.24443,0,0.75557,101.080982664671,0.0480025936799253,0,0.0480025936799253
"Q12",1132.8449,0.57983,0,0.42017,487.631580911803,0.156451377253268,0,0.156451377253268
"Q13",998.1546,0.57369,0,0.42631,240.4730953619,0.122847253394883,0,0.122847253394883
"Q14",7330.4061,0,0,1,1314.43469074507,0,0,0
"Q15",5882.9365,0.11489,0,0.88511,822.228590066757,0.0221524741532658,0,0.0221524741532658
"Q16",4118.6455,0.02752,0,0.97248,833.606035362995,0.0115070799462283,0,0.0115070799462283
"Q17",28496.4386,0.99098,0,0.00902,493.243101909799,0.0009886017061149,0,0.000988601706114921
"Q18",952.3761,0.57167,0,0.42833,258.74041527388,0.100188655933583,0,0.100188655933583
"Q19",9488.896,0,0,1,1319.87669489506,0,0,0
"Q20",41669.0585,0.96101,0,0.03899,393.392249990106,0.013097026804245,0,0.013097026804245
"Q21",1653.1318,0.6824,0,0.3176,398.356536910453,0.142112998858107,0,0.142112998858107
"Q22",664.5834,0.25053,0,0.74947,368.170013923278,0.0707654506097432,0,0.0707654506097432
