query,total_ms,prop_w1,prop_w2,prop_coord
Q1,4574.165,0.7919,0.0000,0.2081
Q1,4203.686,0.8592,0.0000,0.1408
Q1,4231.576,0.8867,0.0000,0.1133
Q1,4665.025,0.7845,0.0000,0.2155
Q1,4534.717,0.8327,0.0000,0.1673
Q1,4561.844,0.8553,0.0000,0.1447
Q1,4827.131,0.8283,0.0000,0.1717
Q1,5217.998,0.6953,0.0000,0.3047
Q1,4588.035,0.8307,0.0000,0.1693
Q1,5016.561,0.8249,0.0000,0.1751
Q2,2006.249,0.1135,0.0000,0.8865
Q2,1056.002,0.2007,0.0000,0.7993
Q2,578.718,0.3684,0.0000,0.6316
Q2,738.334,0.2427,0.0000,0.7573
Q2,619.183,0.3413,0.0000,0.6587
Q2,528.251,0.2026,0.0000,0.7974
Q2,526.261,0.3645,0.0000,0.6355
Q2,612.991,0.2871,0.0000,0.7129
Q2,522.787,0.3690,0.0000,0.6310
Q2,536.372,0.2593,0.0000,0.7407
Q3,10423.323,0.0000,0.0000,1.0000
Q3,8810.850,0.0000,0.0000,1.0000
Q3,10403.134,0.0000,0.0000,1.0000
Q3,11061.994,0.0000,0.0000,1.0000
Q3,11035.586,0.0000,0.0000,1.0000
Q3,7763.060,0.0000,0.0000,1.0000
Q3,10269.434,0.0000,0.0000,1.0000
Q3,10384.715,0.0000,0.0000,1.0000
Q3,8749.025,0.0000,0.0000,1.0000
Q3,10726.312,0.0000,0.0000,1.0000
Q4,1229.482,0.7248,0.0000,0.2752
Q4,1189.754,0.7156,0.0000,0.2844
Q4,1266.158,0.6846,0.0000,0.3154
Q4,1331.973,0.6409,0.0000,0.3591
Q4,1192.018,0.7575,0.0000,0.2425
Q4,2075.527,0.4605,0.0000,0.5395
Q4,1764.801,0.5169,0.0000,0.4831
Q4,1467.630,0.5897,0.0000,0.4103
Q4,1174.094,0.7595,0.0000,0.2405
Q4,1351.116,0.6522,0.0000,0.3478
Q5,12440.744,0.0000,0.0000,1.0000
Q5,10456.231,0.0000,0.0000,1.0000
Q5,11073.850,0.0000,0.0000,1.0000
Q5,12357.527,0.0000,0.0000,1.0000
Q5,12315.288,0.0000,0.0000,1.0000
Q5,12100.669,0.0000,0.0000,1.0000
